{ 02 E0 2C 19 4B 0C 00 00 1F 00 }, Delta:12.942ms, Position:[6444,3147], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 29 19 4C 0C 00 00 1F 00 }, Delta:3.112ms, Position:[6441,3148], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 23 19 4D 0C 00 00 1F 00 }, Delta:7.863ms, Position:[6435,3149], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 22 19 4E 0C 00 00 1F 00 }, Delta:6.146ms, Position:[6434,3150], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 1F 19 4D 0C 00 00 1F 00 }, Delta:7.763ms, Position:[6431,3149], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 1A 19 4D 0C 00 00 1F 00 }, Delta:8.170ms, Position:[6426,3149], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 1A 19 4C 0C 00 00 1F 00 }, Delta:7.924ms, Position:[6426,3148], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 19 19 4A 0C 00 00 1F 00 }, Delta:7.849ms, Position:[6425,3146], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 18 19 49 0C 00 00 1F 00 }, Delta:6.123ms, Position:[6424,3145], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 16 19 49 0C 00 00 1F 00 }, Delta:10.892ms, Position:[6422,3145], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
{ 02 E0 13 19 49 0C 00 00 1F 00 }, Delta:5.158ms, Position:[6419,3145], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:31, ReportType:IntuosTabletReport
